ПИ000022176,00-00008501
ПИ000084195,ПИ000104463
00000000826,ПИ000047337
ПИ000093459,ПИ000094445
ПИ000093459,ПИ000103532
ПИ000008132,00-00029935
ПИ000024105,ПИ000023417
ПИ000023905,ПИ000023900
ПИ000084193,ПИ000100343
ПИ000084193,ПИ000084194
00000018471,ПИ000099742
ПИ000013652,00000018471
00000016335,00000016352
00000000789,00000000791
ПИ000008124,ПИ000008127
ПИ000008127,ПИ000008123
00000000489,00000000289
ПИ000127352,00000000289
00000000794,00000000289
ПИ000023899,ПИ000023841
ПИ000027564,ПИ000031663
ПИ000084194,ПИ000084195
ПИ000084195,ПИ000084196
ПИ000027564,ПИ000032436
00000000720,ПИ000024076
00000000720,ПИ000059888
00000000725,00000000720
ПИ000084047,00000000720
00000000720,ПИ000024129
00000000729,00000000720
ПИ000137673,ПИ000130157
ПИ000047349,ПИ000099746
ПИ000059927,ПИ000023903
ПИ000023478,ПИ000023903
00-00013646,00-00008501
00-00013646,ПИ000111701
00000000794,00000000202
ПИ000050689,ПИ000053446
ПИ000063916,ПИ000024105
ПИ000052878,ПИ000111701
00000009550,ПИ000052878
ПИ000059927,ПИ000059250
ПИ000086845,ПИ000024129
ПИ000086845,ПИ000059888
ПИ000086845,ПИ000024076
ПИ000106029,ПИ000013652
00000000639,00000000461
00-00014428,ПИ000046879
00-00014428,ПИ000049474
00000000725,ПИ000024076
00000000725,ПИ000024129
00000000729,00000000725
00000000729,ПИ000024129
00000000729,ПИ000059888
ПИ000024110,ПИ000024105
00000000756,00000000826
00000000756,00000000840
ПИ000075471,ПИ000008124
ПИ000027564,00-00015288
ПИ000026537,ПИ000036465
00000000793,00000000791
00000003062,ПИ000059888
00000003062,ПИ000084046
00000003062,00000000714
00000003062,ПИ000062404
ПИ000013652,00000003062
00-00013637,ПИ000139487
00000000826,00000000840
00-00010445,ПИ000144762
00000000248,00000000355
00000000794,00000000355
ПИ000020501,00000000355
00000000355,ПИ000014414
ПИ000121711,ПИ000059889
ПИ000059889,ПИ000059888
00000001055,ПИ000117640
ПИ000099747,ПИ000117640
ПИ000023000,00000000736
ПИ000023000,00000000735
ПИ000027200,ПИ000026556
ПИ000059250,ПИ000023478
ПИ000022184,ПИ000008125
ПИ000008132,ПИ000022184
ПИ000022184,ПИ000122474
ПИ000013652,00-00005987
00000000793,00000000489
00000000489,00000000843
ПИ000135800,ПИ000021537
00000003679,00000003801
00000003679,ПИ000099746
00000003680,00000003679
00000003796,00000003679
ПИ000024099,ПИ000024100
00-00021275,00-00025673
00-00025675,00-00025673
ПИ000076588,00-00030256
ПИ000095088,00-00009997
С0000002637,ПИ000062404
ПИ000059250,ПИ000023898
ПИ000023840,ПИ000023898
ПИ000008131,ПИ000008125
ПИ000008131,ПИ000008123
ПИ000008124,ПИ000008131
00000003047,00000003077
ПИ000024114,ПИ000024103
ПИ000024102,ПИ000024114
00-00031429,00-00031428
ПИ000024101,ПИ000024102
ПИ000024101,ПИ000024100
ПИ000111701,ПИ000012655
00000003077,ПИ000012655
ПИ000013652,ПИ000012655
00000003078,ПИ000012655
ПИ000075119,00000009550
ПИ000075119,ПИ000111701
ПИ000075052,ПИ000008130
ПИ000075052,ПИ000008129
ПИ000075052,ПИ000008123
ПИ000008118,ПИ000075052
ПИ000075052,ПИ000111701
00-00025675,00-00021276
ПИ000111701,ПИ000052877
00-00020518,ПИ000137218
ПИ000026543,ПИ000087866
ПИ000095087,ПИ000095088
00000000712,ПИ000041669
ПИ000111701,00000000712
ПИ000013652,00000000712
00000000712,ПИ000062404
00000000712,00000000709
00000000712,00000000714
00-00035717,ПИ000111701
00-00005433,00-00009032
00-00009034,00-00009032
ПИ000087866,ПИ000036465
00-00029181,00-00038697
ПИ000024102,ПИ000024103
ПИ000020501,ПИ000014414
00000000794,ПИ000014414
ПИ000041669,ПИ000084046
00000000710,ПИ000041669
ПИ000098993,00000029849
ПИ000084194,00000003796
00000003680,ПИ000084194
ПИ000084194,ПИ000018611
ПИ000046637,С0000004427
ПИ000046637,00-00020518
ПИ000055731,ПИ000059888
00-00025675,00-00021275
00-00038697,ПИ000099746
00000016337,ПИ000021068
ПИ000021068,ПИ000099746
ПИ000003671,ПИ000021068
ПИ000021068,ПИ000015841
00000003680,ПИ000099746
00000003680,00000003801
00000003680,00000003796
ПИ000098756,ПИ000111701
00000000709,ПИ000062404
00000001055,ПИ000127325
00000001055,ПИ000099747
00000000710,ПИ000111701
00000000710,00000003077
00000017883,00000000710
00000000710,ПИ000024076
ПИ000026265,ПИ000020501
00-00002598,00-00000352
00-00002598,ПИ000111701
00-00002598,ПИ000010560
00-00002598,ПИ000013652
ПИ000122947,ПИ000059888
ПИ000099742,ПИ000122947
00000003077,ПИ000122947
00000018835,ПИ000130871
00-00009034,ПИ000008132
ПИ000144575,ПИ000059888
ПИ000013652,ПИ000144575
ПИ000144575,ПИ000084047
ПИ000144575,00000003077
ПИ000144575,ПИ000062404
ПИ000144575,ПИ000111701
ПИ000024078,ПИ000024129
ПИ000024078,ПИ000024076
ПИ000024078,ПИ000059888
ПИ000023841,ПИ000023905
00000016335,ПИ000008531
ПИ000026510,ПИ000027946
ПИ000111592,ПИ000099746
ПИ000111592,00000003796
00-00005988,00000000736
00-00005988,ПИ000059888
00000009550,00-00005988
00-00033670,С0000004427
ПИ000111701,ПИ000075120
ПИ000075120,ПИ000059888
ПИ000027636,ПИ000027564
ПИ000003671,ПИ000018611
ПИ000003671,ПИ000015841
ПИ000049474,ПИ000099743
ПИ000123903,ПИ000049474
ПИ000061356,ПИ000024076
ПИ000023904,ПИ000023840
ПИ000123903,ПИ000046879
ПИ000013652,00000002053
00000002054,00000002053
ПИ000099747,00000002053
ПИ000014516,00000002053
00000003796,ПИ000084196
ПИ000084196,ПИ000099746
ПИ000015841,ПИ000099746
00-00002954,ПИ000084046
ПИ000008118,ПИ000008128
ПИ000099746,00000003801
00000003796,00000003801
ПИ000099747,00000002054
ПИ000121710,ПИ000121711
ПИ000130871,ПИ000111701
ПИ000130871,00-00020518
ПИ000130871,00000017611
ПИ000095087,ПИ000059888
ПИ000095087,00000003796
00000000794,ПИ000020501
ПИ000014516,ПИ000099747
00000017611,ПИ000059888
00-00020518,00000017611
00000006829,00000017611
00000017611,ПИ000144762
ПИ000026510,00-00013637
00-00013637,ПИ000087866
00000002530,ПИ000043308
00000000736,ПИ000043308
ПИ000059888,ПИ000043308
00000009550,ПИ000043308
ПИ000131184,ПИ000111701
ПИ000024102,ПИ000024105
ПИ000024102,ПИ000059888
00000009550,00-00005433
ПИ000008132,00-00005433
00000006829,00-00009606
00-00009606,ПИ000144762
ПИ000026556,00-00031428
00000017883,ПИ000111701
00000017883,ПИ000024129
00000017883,ПИ000042007
ПИ000013652,00000017883
ПИ000099742,00000002530
00000018704,00000002530
00000003077,00000002530
ПИ000075538,ПИ000038016
00000009550,ПИ000010560
ПИ000010560,ПИ000099745
ПИ000013652,ПИ000010560
ПИ000062404,ПИ000010560
ПИ000087866,ПИ000026556
00000018704,00000000736
00000018704,ПИ000062404
00000018704,00000000735
ПИ000013652,00000018704
00000018704,ПИ000111701
00000003796,ПИ000099745
00000003796,ПИ000062404
00000003796,ПИ000024129
ПИ000111701,00000003796
ПИ000018611,00000003796
00000003796,ПИ000099746
00000006829,ПИ000096954
ПИ000013652,ПИ000096954
00000009550,ПИ000084047
ПИ000099742,ПИ000084047
ПИ000084047,00000003077
ПИ000084047,00000003078
ПИ000084047,ПИ000111701
00000006829,ПИ000121711
ПИ000121711,ПИ000024076
ПИ000121711,ПИ000059888
00-00019836,ПИ000111701
00000016335,ПИ000099746
00000000735,ПИ000018611
00000000735,00000000714
00000000735,ПИ000084046
00000009550,00000000735
00000000735,00000003078
00000000735,ПИ000059888
ПИ000099742,00000000735
00000000735,ПИ000099743
00000000735,00000000736
00000000714,ПИ000144762
00-00008501,00000000714
00000000714,00000003078
00000000248,00000000714
ПИ000018611,00000000714
00000003077,00000000714
00000000736,00000000714
00000000714,ПИ000113074
ПИ000099742,00000000714
00000000714,ПИ000062404
00000000714,ПИ000099743
00000009550,00-00000352
00000003077,00-00000352
ПИ000111701,00-00000352
ПИ000013652,00-00000352
ПИ000008118,ПИ000111701
00-00033490,ПИ000111701
ПИ000008124,00-00008501
00-00008501,00000003078
00-00008501,ПИ000059888
00-00008501,ПИ000008123
00000009550,00-00008501
ПИ000013652,00-00008501
00000003078,ПИ000084046
ПИ000018611,ПИ000084046
ПИ000042007,ПИ000084046
ПИ000099743,ПИ000084046
00000003077,ПИ000084046
ПИ000099742,ПИ000084046
00-00020518,ПИ000135418
ПИ000013652,00000000736
00000000736,ПИ000024076
00000000736,ПИ000099746
ПИ000111701,00000000736
00000000736,00000003078
00000000736,ПИ000059888
ПИ000099742,00000000736
00000000736,ПИ000099743
00000003077,00000000736
00-00020518,00000028406
ПИ000042007,00000028406
ПИ000024105,ПИ000059888
00-00020518,ПИ000024105
00000003077,ПИ000113074
ПИ000113074,ПИ000059888
ПИ000018611,ПИ000024076
ПИ000024076,ПИ000099743
ПИ000099742,ПИ000024076
ПИ000024076,ПИ000144762
ПИ000111701,ПИ000024076
00000003078,ПИ000099746
00000003078,ПИ000059888
ПИ000018611,00000003078
ПИ000042007,00000003078
00000009550,00000003078
ПИ000111701,00000003078
ПИ000013652,00000003078
00000003078,ПИ000062404
00000009550,ПИ000099747
00000009550,00000006829
00000009550,ПИ000024129
00000009550,ПИ000144762
00000009550,ПИ000099742
00000009550,ПИ000099746
00000009550,ПИ000062404
00000009550,ПИ000111701
00000006829,ПИ000062404
00000006829,00000003077
00000006829,ПИ000059888
00000006829,ПИ000021537
00000006829,ПИ000111701
ПИ000013652,00000006829
ПИ000111701,ПИ000099743
ПИ000013652,ПИ000099743
ПИ000042007,ПИ000099743
ПИ000099743,ПИ000024129
ПИ000018611,ПИ000099743
ПИ000099742,ПИ000099743
00000003077,ПИ000099743
ПИ000099746,ПИ000099743
ПИ000013652,ПИ000099747
ПИ000099747,ПИ000099746
ПИ000013652,ПИ000144762
ПИ000144762,ПИ000059888
00000000248,ПИ000042007
ПИ000132456,ПИ000099746
ПИ000024129,ПИ000099745
ПИ000099742,ПИ000024129
ПИ000111701,ПИ000024129
ПИ000075538,ПИ000059888
ПИ000075538,ПИ000111701
ПИ000099742,ПИ000018611
ПИ000099742,ПИ000099745
ПИ000099742,ПИ000059888
ПИ000099742,00000003077
ПИ000027564,ПИ000111701
ПИ000018611,ПИ000062404
ПИ000018611,ПИ000059888
ПИ000111701,ПИ000018611
ПИ000013652,ПИ000018611
ПИ000042007,00000003077
ПИ000042007,00-00020518
ПИ000042007,ПИ000111701
ПИ000062404,ПИ000099746
ПИ000062404,ПИ000099745
ПИ000013652,ПИ000111701
00000003077,00-00020518
00000003077,ПИ000059888
00000003077,ПИ000111701
00000003077,ПИ000099746
ПИ000111701,00-00020518
ПИ000111701,ПИ000021537
ПИ000111701,ПИ000099746
